,chw_supply_temp,chw_return_temp,cw_supply_temp,cw_return_temp,outdoor_temp,outdoor_rh,total_power,ch_kw,chwp_kw,cwp_kw,ct_kw,chwp_freq,cwp_freq,ct_freq
2024-07-01 00:00:00,,,,,,,,,,,,,,
2024-07-01 00:15:00,,,,,,,,,,,,,,
2024-07-01 00:30:00,,,,,,,,,,,,,,
2024-07-01 00:45:00,,,,,,,,,,,,,,
2024-07-01 01:00:00,,,,,,,,,,,,,,
2024-07-01 01:15:00,,,,,,,,,,,,,,
2024-07-01 01:30:00,,,,,,,,,,,,,,
2024-07-01 01:45:00,,,,,,,,,,,,,,
2024-07-01 02:00:00,,,,,,,,,,,,,,
2024-07-01 02:15:00,,,,,,,,,,,,,,
2024-07-01 02:30:00,,,,,,,,,,,,,,
2024-07-01 02:45:00,,,,,,,,,,,,,,
2024-07-01 03:00:00,,,,,,,,,,,,,,
2024-07-01 03:15:00,,,,,,,,,,,,,,
2024-07-01 03:30:00,,,,,,,,,,,,,,
2024-07-01 03:45:00,,,,,,,,,,,,,,
2024-07-01 04:00:00,,,,,,,,,,,,,,
2024-07-01 04:15:00,,,,,,,,,,,,,,
2024-07-01 04:30:00,,,,,,,,,,,,,,
2024-07-01 04:45:00,,,,,,,,,,,,,,
2024-07-01 05:00:00,,,,,,,,,,,,,,
2024-07-01 05:15:00,,,,,,,,,,,,,,
2024-07-01 05:30:00,,,,,,,,,,,,,,
2024-07-01 05:45:00,,,,,,,,,,,,,,
2024-07-01 06:00:00,7.059111233023534,7.618754576856199,25.165413429112235,25.47004934197516,28.501972827803943,84.16868586070684,83.06820725588663,54.56558193018133,9.36271232357855,14.529120592890632,2.6107924092361294,51.276856194763354,55.35715775879486,42.207368528676774
2024-07-01 06:15:00,7.151855445807406,7.908022068040551,25.209205599232536,25.41562131924539,28.569059558566117,82.62350030391612,101.7367787830273,73.56459914803676,9.301081348575527,14.444055076913314,2.427043209501707,51.164096764738815,55.24891066363096,41.192991477919264
2024-07-01 06:30:00,7.0823981861269765,7.632934932891049,25.486734291466167,26.06100235046217,28.880246200103695,82.27361462356491,81.62273627232578,53.20977010472907,9.119993847508056,14.770300911915587,2.522671408173073,50.8298715808498,55.66178403934352,41.72705403490932
2024-07-01 06:45:00,7.08576039350254,7.72345880398659,25.059591797438156,25.397250659199777,29.073643310697857,79.60786052777351,90.1093417583546,61.79028926457233,9.19098832617028,14.58316808191086,2.5448960857011382,50.96142564310591,55.42571462906332,41.849234064413054
2024-07-01 07:00:00,6.877379596214692,7.391843122118476,25.752439657671346,26.405069452675093,29.079194588929095,84.15084136874384,77.80625635025106,49.44966741702936,9.087030532045071,14.536464368953052,2.733094032223579,50.76855780324577,55.366482986997454,42.856400033642196
