timestamp,outdoor_temp,outdoor_rh,chw_flow_lpm,chw_supply_temp,chw_return_temp,cw_supply_temp,cw_return_temp,chwp_freq,cwp_freq,ct_freq,ch_kw,chwp_kw,cwp_kw,ct_kw,total_power,chw_delta_t,q_delivered_kw,system_kw_per_rt,chiller_plr,is_steady
2024-07-01 00:00:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 00:15:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 00:30:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 00:45:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 01:00:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 01:15:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 01:30:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 01:45:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 02:00:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 02:15:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 02:30:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 02:45:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 03:00:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 03:15:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 03:30:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 03:45:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 04:00:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 04:15:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 04:30:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 04:45:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 05:00:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 05:15:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 05:30:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 05:45:00,,,,,,,,,,,,,,,,,,,,False
2024-07-01 06:00:00,28.501972827803943,84.16868586070684,427.3071349563613,7.059111233023534,7.618754576856199,25.165413429112235,25.47004934197516,51.276856194763354,55.35715775879486,42.207368528676774,54.56558193018133,9.36271232357855,14.529120592890632,2.6107924092361294,83.06820725588663,0.5596433438326649,16.683972330972246,17.51087085996914,0.21826232772072532,False
2024-07-01 06:15:00,28.569059558566117,82.62350030391612,426.3674730394901,7.151855445807406,7.908022068040551,25.209205599232536,25.41562131924539,51.164096764738815,55.24891066363096,41.192991477919264,73.56459914803676,9.301081348575527,14.444055076913314,2.427043209501707,101.7367787830273,0.7561666222331445,22.493111835503726,15.907458852142145,0.29425839659214703,False
2024-07-01 06:30:00,28.880246200103695,82.27361462356491,423.5822631737483,7.0823981861269765,7.632934932891049,25.486734291466167,26.06100235046217,50.8298715808498,55.66178403934352,41.72705403490932,53.20977010472907,9.119993847508056,14.770300911915587,2.522671408173073,81.62273627232578,0.5505367467640729,16.269419307221966,17.644585713169317,0.21283908041891628,False
2024-07-01 06:45:00,29.073643310697857,79.60786052777351,424.6785470258826,7.08576039350254,7.72345880398659,25.059591797438156,25.397250659199777,50.96142564310591,55.42571462906332,41.849234064413054,61.79028926457233,9.19098832617028,14.58316808191086,2.5448960857011382,90.1093417583546,0.6376984104840497,18.89398781366116,16.773301543837686,0.2471611570582893,False
2024-07-01 07:00:00,29.079194588929095,84.15084136874384,423.0713150270481,6.877379596214692,7.391843122118476,25.752439657671346,26.405069452675093,50.76855780324577,55.366482986997454,42.856400033642196,49.44966741702936,9.087030532045071,14.536464368953052,2.733094032223579,77.80625635025106,0.5144635259037837,15.185047119860828,18.020662130572365,0.19779866966811743,False
2024-07-01 07:15:00,29.244214402379978,85.61626542979144,424.5490723402545,6.989602848121029,8.059819050265824,25.917051241528977,26.456083738968797,50.94588868083054,55.98126795085973,42.17319408175035,102.76610345582723,9.182584528292695,15.026096364605154,2.604455826240263,131.57924017496535,1.0702162021447954,31.699133538660206,14.598638386470935,0.41106441382330894,False
2024-07-01 07:30:00,29.42450226514388,81.10982308483788,422.460075887631,6.906572346170571,8.078613929477928,25.651559847981005,26.723150676327823,50.69520910651571,55.988770632724034,43.479593103503625,111.46738026119552,9.047701504139752,15.03213862487446,2.854065433591036,140.40128582380078,1.1720415833073572,34.544321488137555,14.29442817141087,0.44586952104478206,False
